Info_Codice,Info_IDVar,Info_Pack,Tassonomia_Famiglia,Tassonomia_Genere,Tassonomia_Specie,Tassonomia_Varieta,Classificazione_Pianta,Classificazione_Ortaggio,Classificazione_Varieta,Trapianto_Mesi,Distanze_Piante,Distanze_Piante_Range,Distanze_File,Raccolta_Min,Raccolta_Max,Raccolta_Udm,Produzione_Peso,Produzione_Range,Produzione_Udm,Booleans_Perenne,Booleans_Mezzombra,Booleans_F1,Descrizione
H107,683,6,Crucifere,Brassica,oleracea,,Cavolo,Cavolo riccio,,001111011100,40,0,50,70,70,giorni,1000,0,g/unità,0,0,1,"Il Kale (o cavolo riccio) è tra i nuovi ortaggi che si stanno dif ondendo negli orti famigliari per le proprietà benefiche davvero uniche. Sono considerati da molti quasi un “elisir di lunga vita”. Ottimo per: insalate, estratti, zuppe, antipasti e primi. Si raccoglie a 70 giorni dal trapianto tagliando le foglie esterne. In insalata si utilizzano quelle piùgiovani."
H555,100,12,Leguminose,Cicer,arietinum,,Cece,Cece,Da granella,011110000000,10,0,50,90,90,giorni,150,0,g/mq,0,0,0,"I ceci rappresentano un’ottima fonte di proteine. L’apparato radicale molto profondo gli consente di sopravvivere con pochissima acqua. Consumato principalmente nella pasta e in creme vellutate. I ceci sono maturi quando i baccelli ingialliscono e si seccano. Si conserva per lungo tempo. La pianta del cece resiste alla siccità e non tollera i ristagni."
H110,310,4,Cucurbitacee,Cucumis,sativus,,Cetriolo,Cetriolo,Classico,011111110000,40,0,100,40,50,giorni,5000,1000,g,0,1,1,"Cetriolo di riferimento nel mercato professionale per la produttività e sanità di pianta. Frutti verdi scuri, leggermente spinosi, di alta qualità. Per chi ama il cetriolo classico dal sapore deciso. Facile da coltivare con il metodo biologico, grazie alla naturale resistenza a virus e mal bianco."
H111,312,4,Cucurbitacee,Cucumis,sativus,,Cetriolo,Cetriolo,Da sottaceto,001111000000,30,0,100,35,40,giorni,2500,500,g,0,0,1,"Frutti corti di colore verde chiaro, ideali per sottoaceto. Pianta produttiva, a maturazione concentrata, ha una buona tenuta a malattie fogliari come mal bianco e antracnosi."
H113,313,4,Cucurbitacee,Cucumis,sativus,,Cetriolo,Cetriolo,Di Polignano,001111000000,40,0,100,50,60,giorni,2000,0,g,0,1,0,"Antica varietà, tipica della tradizione pugliese, con polpa acquosa e sapore intenso. Consigliata interventi preventivi bio, contro mal bianco e parassiti perché la varietà è più sensibile rispetto alle altre della gamma."
H10Y,732,4,Cucurbitacee,Cucumis,sativus,,Cetriolo,Cetriolo,Digeribile,011111110000,40,0,100,40,50,giorni,5000,1000,g,0,1,1,"Questa nuova varietà di cetriolo offre il grande vantaggio di non avere mai gusto amaro, neanche nei periodi più critici dell’estate! La pianta è molto sana, grazie alla naturale resistenza a virus e mal bianco. I frutti sono poco spinosi, hanno sapore delicato e sono molto digeribili."
H112,311,4,Cucurbitacee,Cucumis,sativus,,Cetriolo,Cetriolo,Digeribile lungo,001111110000,40,0,100,40,50,giorni,6000,1000,g,0,1,1,"Produce frutti poco spinosi, di oltre 30 cm, sempre digeribili e dal sapore delicato. Pianta precoce ed eccezionalmente produttiva. I frutti si raccolgono quando raggiungono i 3 cm di diametro, prima che ingrossino ed ingialliscano."
H346,216,9,Composite,Cichorium,intybus,,Cicoria,Cicoria,Bianca cappotta mantovana,000000111100,25,0,40,20,110,giorni,500,0,g/unità,0,0,0,"Cicoria invernale dal sapore dolce. Selezione caratterizzata da foglie larghe ed arrotondate di colore biondo chiaro che formano un cappuccio bianco e compatto. Molto resistente al freddo. Si raccoglie a 110-130 giorni dal trapianto. Apprezzata per il sapore delicato e la morbidezza delle foglie. Utilizzabile anche da taglio (raccolta in 20 giorni)."
H341,213,9,Composite,Cichorium,intybus,,Cicoria,Cicoria,Bianca di Milano,011111111100,30,0,40,70,70,giorni,600,0,g/unità,0,0,1,"Varietà dal gusto dolce a ciclo di maturazione medio-precoce indicata per raccolte primaverili-autunnali. Foglie croccanti di un bel colore verde chiaro brillante e pianta dalla forma piramidale. Buona resistenza alla salita a seme. Si raccoglie a 70 giorni dal trapianto."
H362,217,9,Composite,Cichorium,intybus,,Cicoria,Cicoria,Bianca invernale,000000111100,35,0,40,120,120,giorni,800,0,g/unità,0,0,0,"Selezione di altissima qualità dal sapore dolce a ciclo tardivo. Estremamente resistente al freddo intenso. Cespi di notevole pezzatura, fino ad oltre 800 gr. con foglie di colore verde chiaro. Ideale per raccolte invernali. Si raccoglie a 120/130 giorni dal trapianto."
H369,591,9,Composite,Cichorium,intybus,,Cicoria,Cicoria,Da taglio,011111111100,2,0,30,15,15,giorni,3000,0,g/mq,0,1,0,"La cicoria zuccherina di trieste è un gustoso radicchio da taglio, tenero e dolce se raccolto molto giovane, a 5/7 cm di altezza. Acquista un sapore gradevolmente amarognolo (per chi lo gradisce) se lasciato crescere e quindi “invecchiare” maggiormente. Si trapiantano le piantine senza separarle, affiancando 4-8 pack che così costituiranno una fila. Coltivabile anche in balcone, in cassette da gerani da 50 cm, utilizzando 4 pack per cassetta. Dopo aver riempito i vasi con terriccio di buona qualità, si trapiantano le piantine interrando parzialmente i cubetti. Irrigare 2-4 volte la settimana in funzione di temperature esterne e luminosità. Tagliere lasciando 3 cm di gambo per favorire un rapido ricaccio. Possibili fino a 8-10 tagli ripetuti ogni 7-15 giorni."
H371,659,9,Composite,Cichorium,intybus,,Cicoria,Cicoria,Gialla,000000111100,30,0,40,80,80,giorni,300,0,g/unità,0,0,0,"Nuova varietà di cicoria detta anche ”giallo del veneto”, di recentissima costituzione. A maturazione, il cuore del radicchio assume la caratteristica colorazione gialla, molto attraente. Ottimo il sapore che assomiglia al rosso di Verona, risulta anche bellissimo nelle insalate, in abbinamento alle varietà a foglia rossa. Ciclo di circa 80 giorni."
H357,218,9,Composite,Cichorium,intybus,,Cicoria,Cicoria,Goriziana o rosa Isontina,000000111100,25,0,40,140,140,giorni,100,0,g/unità,0,0,0,"Varietà tipica della tradizione friulana, considerata tra le cicorie più pregiate in assoluto. Ciclo tardivo. Foglie carnose e vellutate di colore rosso granato. Molto resistente al freddo, il gelo ne migliora sapore e croccantezza. Forzatura come il trevigiano tardivo. Poi, si pulisce la pianta e si consuma la deliziosa “rosa” che rimane dolce e gustosa. Si raccoglie in 130/150 giorni dal trapianto. Presidio Slow food."
H549,686,9,Composite,Cichorium,intybus,,Cicoria,Cicoria,Grumolo verde,000000011110,15,0,30,120,120,giorni,100,0,g/unità,0,0,0,"Apprezzata varietà di cicoria per consumo dal tardo autunno alla fine dell’inverno. Il cespo è costituito dalla caratteristica rosetta di dimensioni contenute e dalla buona resistenza alle basse temperature. Eccellente il sapore gradevolmente amarognolo, valorizzato anche dalla consistenza carnosa delle foglie. Vera prelibatezza per il palato!"
H342,212,9,Composite,Cichorium,intybus,,Cicoria,Cicoria,Pan di zucchero invernale,000000111110,30,0,40,100,100,giorni,1000,0,g/unità,0,0,1,"Pronta in 90-100 giorni dal trapianto. Resiste a lungo in campo grazie alla buona resistenza alle basse temperature. Si conserva a lungo in frigorifero."
H340,211,9,Composite,Cichorium,intybus,,Cicoria,Cicoria,Pan di zucchero precoce,011111111110,30,0,40,80,80,giorni,800,0,g/unità,0,0,1,"I cespi possono superare gli 800 gr di peso. Foglie con sapore dolce e croccante. Eccellente nuova varietà a ciclo medio-precoce, si raccoglie a circa 80 giorni dal trapianto."
H366,220,9,Composite,Cichorium,intybus,,Cicoria,Cicoria,Rosa di Verona,000000111100,30,0,40,110,110,giorni,300,0,g/unità,0,0,0,"Nuova varietà detta anche “ Rosa di Verona”. Il cespo raggiunge i 400 g di peso. Piante vigorose, semi-aperte, che virano di colore dal verde chiaro al crema, al rosa ai primi freddi. Gusto sorprendente! Foglie tenere e dolci dalla prelibata costa carnosa. Varietà tardiva si raccoglie a circa 100-120 giorni dal trapianto. Resistente al freddo."
H348,204,9,Composite,Cichorium,intybus,,Cicoria,Cicoria,Variegata di Chioggia autunnale,000000111110,25,0,40,90,90,giorni,400,0,g/unità,0,0,0,"Selezioni di altissima qualità, con cespi a palla, dal peso di 450 gr. con foglie tenere dal sapore dolce. Si raccoglie a 90 giorni dal trapianto."
H355,203,9,Composite,Cichorium,intybus,,Cicoria,Cicoria,Variegata di Chioggia precoce,000000111110,25,0,40,70,70,giorni,400,0,g/unità,0,0,0,"Ottima selezione di altissima qualità, con cespi a palla, dal peso di 350 gr. con foglie molto tenere dal sapore dolce. Si raccoglie a 70 giorni dal trapianto."
H364,205,9,Composite,Cichorium,intybus,,Cicoria,Cicoria,Variegata di Chioggia tardiva,000000111110,30,0,40,120,120,giorni,800,0,g/unità,0,0,0,"Ottima varietà, con cespi a palla, dal peso di oltre 500 gr. II sapore è leggermente amarognolo. Si raccoglie a 120 giorni dal trapianto."
H349,197,9,Composite,Cichorium,intybus,,Cicoria,Cicoria,Variegata di Lusia autunnale,000001111110,25,0,40,75,75,giorni,500,0,g/unità,0,0,0,"Radicchio dolce a palla, del peso di 450 grammi, con foglie chiare variegate in viola. Si raccoglie a 75 giorni dal trapianto."
H351,198,9,Composite,Cichorium,intybus,,Cicoria,Cicoria,Variegata di Lusia precoce,011111111110,30,0,40,65,65,giorni,500,0,g/unità,0,0,1,"Radicchio dal sapore sempre dolce, privo di retrogusto amaro e foglie tenere. Cespo a palla, del peso di 400 grammi. Si raccoglie a 65 giorni dal trapianto."
H361,199,9,Composite,Cichorium,intybus,,Cicoria,Cicoria,Variegata di Lusia tardiva,000000111110,30,0,40,120,120,giorni,700,0,g/unità,0,0,0,"Radicchio dal sapore sempre dolce, privi di retrogusto amaro. Cespo a palla, del peso di oltre 500 grammi, con foglie chiare variegate in viola. Si raccoglie a 120 giorni dal trapianto."
H518,745,12,Crucifere,Brassica,rapa,,Rapa,Cima di rapa,Maceratese,000001111100,15,0,50,70,70,giorni,700,0,g,0,1,0,"È tra le varietà più richieste. Si utilizzano le tenere foglie del cuore, particolarmente ricercate per il sapore più delicato rispetto alle altre tipologie di cima di rapa. Pronte a 70 giorni dal trapianto."
H517,613,12,Crucifere,Brassica,rapa,,Rapa,Cima di rapa,Novantina,000001111100,15,0,50,90,90,giorni,700,0,g,0,1,0,"Si utilizzano le cime con i boccioli chiusi, prelibate con le orecchiette. Facile coltivazione. Si può raccogliere a circa 90 giorni dal trapianto."
H516,137,12,Crucifere,Brassica,rapa,,Rapa,Cima di rapa,Sessantina,000001111100,15,0,50,60,60,giorni,500,0,g,0,1,0,"Si utilizzano le cime con i boccioli chiusi, prelibate con le orecchiette. Facile coltivazione. Si può raccogliere a circa 60 giorni dal trapianto."
H512,77,12,Liliacee,Allium,cepa,,Cipolla,Cipolla,Bianca piatta di Maggio,111100000000,15,0,30,80,80,giorni,350,0,g/unità,0,0,0,"La cipolla Bianca di Maggio ha bulbo piatto ed è precoce e pregiata per il suo sapore delicatissimo dolce, poco pungente. In cucina si esalta al massimo nella cottura al forno. Conservabilità limitata."
H502,78,12,Liliacee,Allium,cepa,,Cipolla,Cipolla,Bianca tonda,111111111110,15,0,30,110,110,giorni,500,0,g/unità,0,0,0,"Cipolla bianca dal bulbo grosso e dal sapore dolce poco pungente. Conservabilità discreta."
H513,82,12,Liliacee,Allium,cepa,,Cipolla,Cipolla,Dolce,111111011100,15,0,30,90,90,giorni,300,0,g/unità,0,0,0,"Cipolla color giallo paglierino, di medie dimensioni, dalla polpa bianca con sapore molto dolce. Varietà francese dal gusto estremamente delicato, si utilizza in cucina sia cotta che cruda. Consigli: Quando le foglie ingialliscono e il fusto si piega, si estirpano i bulbi e si lasciano seccare al sole per 10/15 giorni. Evitare i ristagni idrici. Buona la conservazione."
H503,79,12,Liliacee,Allium,cepa,,Cipolla,Cipolla,Dorata di Bologna,111111111110,15,0,30,130,130,giorni,600,0,g/unità,0,0,1,"È la classica cipolla dorata, con bulbi di buone dimensioni, dal sapore pungente. Eccellente per la lunga conservazione invernale."
H524,583,12,Liliacee,Allium,cepa,,Cipolla,Cipolla,Gialla Borettana da sottaceto,001111000000,10,5,30,110,110,giorni,60,40,g/unità,0,0,0,"Originaria della bassa reggiana. La cipollina dolce da sottaceto e sottolio più ricercata per antipasti e contorni. Si conserva per mesi."
H519,81,12,Liliacee,Allium,cepa,,Cipolla,Cipolla,Gialla piatta piemontese,111111000000,10,0,30,120,120,giorni,100,0,g/unità,0,0,0,"Varietà pregiata tipica della zona di Andezeno anche conosciuta con il nome di “piatlina”. Sapore dolce e non pungente, ideale per la cottura al forno. Si cucina molto rapidamente. Ottima conservabilità."
H525,656,12,Liliacee,Allium,cepa,,Cipolla,Cipolla,Gigante di Giarratana,001110000000,20,0,30,120,120,giorni,1000,500,g/unità,0,0,0,"Rinomata varietà di cipolla piatta dal sapore incredibilmente dolce, recentemente insignita del Presidio Slow food, originaria dell’omonimo paese che l’ha resa famosa. È ottima sia fresca che cotta al forno, insuperabile alla griglia. Presenta bulbi appiattiti di dimensioni molto grandi, da 500 gr a 1,5 kg, dalla conservabilità limitata."
H521,85,12,Liliacee,Allium,cepa,,Cipolla,Cipolla,Ramata di Milano,001111000000,15,0,30,110,110,giorni,200,0,g/unità,0,0,0,"La rossa ramata di Milano è una ottima varietà per il consumo invernale. I bulbi hanno polpa bianca, profumata, delicatamente pungente. Buona conservabilità."
H523,86,12,Liliacee,Allium,cepa,,Cipolla,Cipolla,Ramata dolce Montorese,001111000000,15,0,30,100,100,giorni,400,0,g/unità,0,0,0,"Varietà pregiata originaria della Campania nella zona di Montoro, dal gusto dolce, delicatamente aromatico, utilizzabile per tutti i piatti; ha davvero eccellente tenuta alla cottura. Elevata conservabilità dopo la raccolta."
H514,83,12,Liliacee,Allium,cepa,,Cipolla,Cipolla,Rosata savonese,111111000000,10,5,30,70,120,giorni,400,0,g/unità,0,0,0,"Precoce, dal sapore dolcissimo. Bulbi tondi e di buone dimensioni, di colore rosso vinoso chiaro con polpa rosata. Conservabilità limitata."
H522,84,12,Liliacee,Allium,cepa,,Cipolla,Cipolla,Rossa da inverno di Certaldo,111111000000,15,0,30,120,120,giorni,350,0,g/unità,0,0,0,"Ricercata varietà toscana e presidio Slow Food, originaria della zona di Certaldo, a forma piatta, di buone dimensioni e dal gusto deciso. Pianta sana, poco sensibile alle comuni malattie. Evitare i ristagni d’acqua. Ottima la conservabilità dei bulbi dopo la raccolta."
H526,704,12,Liliacee,Allium,cepa,,Cipolla,Cipolla,Rossa di Breme,111100000111,10,5,30,70,150,giorni,450,150,g/unità,0,0,0,"Novità: la rinomata cipolla del pavese, nota per la sua dolcezza e l’alta digeribilità. Trapiantata in autunno produce grossi bulbi, di oltre 500 grammi. Utilizzabile anche per cipollotto dall’inverno al periodo primaverile."
H505,90,12,Liliacee,Allium,cepa,,Cipolla,Cipolla,Rossa lunga di Firenze o fiascona,111111001110,10,5,30,70,110,giorni,400,0,g/unità,0,0,0,"Apprezzata varietà di cipolla. Precocissima, a bulbo allungato di colore rosso rosato brillante, con polpa dal sapore dolce e tenuemente piccante. Conservabilità limitata."
H500,87,12,Liliacee,Allium,cepa,,Cipolla,Cipolla,Toscana o rossa di Firenze,111111111110,15,0,30,100,100,giorni,500,0,g/unità,0,0,0,"Precoce, a forma di trottola. Bulbo rosso brillante dal sapore dolce tenuemente piccante. La pianta è di rapido sviluppo. Buona conservabilità."
H501,88,12,Liliacee,Allium,cepa,,Cipolla,Cipolla,Tropea rossa tonda,111111111110,10,5,30,50,100,giorni,600,0,g/unità,0,0,0,"Precocissima, rotondeggiante e schiacciata ai poli. Bulbo rosso brillante con polpa di sapore dolce molto gradevole. Conservabilità limitata."
H515,89,12,Liliacee,Allium,cepa,,Cipolla,Cipolla,Tropeana rossa lunga,111111111110,10,5,30,70,110,giorni,500,0,g/unità,0,0,0,"Precocissima, con polpa dolce, gradevole e tenuemente piccante. Molto utilizzata anche per la produzione di cipollotti. Discreta conservabilità."
H506,76,12,Liliacee,Allium,cepa,,Cipolla,Cipollotto,,111111111110,5,0,30,30,70,giorni,2500,0,g/unità,0,1,0,"La cipolla per cipollotto produce teneri e bianchi cipollotti da consumare freschi. Va trapiantata in pieno sole e a 3/5 cm. di spazio da pianta a pianta. È praticamente una cipolla giovane dal gusto delicato e non pungente. Evitare la carenza idrica in prossimità della raccolta per aumentarne la docezza dei teneri fusti."
H034,114,6,Liliacee,Allium,schoenoprasum,,Erba cipollina,Erba cipollina,,011111100000,10,0,30,15,15,giorni,2000,0,g,0,0,0,"Le foglie fresche di Erba Cipollina si usano tritate per conferire un sapore delicato di cipolla, perfetto nelleinsalate e con i formaggi teneri. Si presta molto bene anche per decorare i piatti, con la panna acida sulle patatee per accompagnare piatti di carne o pesce."
H559,102,12,Leguminose,Phaseolus,vulgaris,,Fagiolino,Fagiolino,Nano giallo,001111000000,10,0,50,50,50,giorni,1000,0,g/mq,0,0,0,"Originale varietà pregiata di fagiolino con baccelli di colore giallo, molto teneri e senza filo."
H551,101,12,Leguminose,Phaseolus,vulgaris,,Fagiolino,Fagiolino,Nano verde,011111111000,10,0,50,50,50,giorni,1500,0,g/mq,0,0,1,"Il fagiolino più pregiato, ricercato per l’ ottima qualità e l’elevata produttività in tutte le condizioni di coltivazione. Baccelli lunghi e sempre privi di filo, adatto alla surgelazione."
H560,584,12,Leguminose,Phaseolus,vulgaris,,Fagiolino,Fagiolino,Nano viola,001111000000,10,0,50,50,50,giorni,1000,0,g/mq,0,0,0,"Moderna varietà di fagiolino dal colore viola scuro dei baccelli, di ottima qualità. Di facile coltivazione nell’orto."
H552,103,12,Leguminose,Phaseolus,vulgaris,,Fagiolo,Fagiolo,Nano borlotto lingua di fuoco,011111100000,10,0,50,60,60,giorni,1000,0,g/mq,0,0,0,"Rustico e molto resistente. Baccello lungo contenente 6/7 grani. Produzione elevata e scalare. Non irrigare a pioggia ed evitare accuratamente di bagnare le foglie. Facilissimo da coltivare. Adatto alla surgelazione. Favorisce la fissazione dell’azoto."
H561,734,12,Leguminose,Phaseolus,vulgaris,,Fagiolo,Fagiolo,Nano cannellino,001111000000,10,0,50,60,60,giorni,800,0,g/mq,0,0,0,"Il fagiolo più ricercato: dalla consistenza morbida e sapore delicato: ottimo anche solo lessato con sale ed olio."
H558,104,12,Leguminose,Phaseolus,vulgaris,,Fagiolo,Fagiolo,Nano supermarconi,001111000000,10,0,50,60,60,giorni,1500,0,g/mq,0,0,0,"Fagiolo nano con baccello mangiatutto piatto, di colore verde chiaro, lungo 19 cm senza filo. La pianta può raggiungere i 50 cm di altezza, è vigorosa e resistente alla defogliazione. Trapiantare a 10 cm di distanza sulla fila e 50 tra le file. Favorisce la fissazione dell’azoto nel terreno."
H554,105,12,Leguminose,Vicia,faba,,Fava,Fava,,101111110000,15,0,50,70,70,giorni,2000,0,g/mq,0,0,0,"La varietà di fava più pregiata e apprezzata presente sul mercato. Ha ciclo precoce. Pianta vigorosa che produce lunghissimi baccelli, contenenti 8-9 grani ciascuno, dal sapore unico grazie alla dolcezza e tenerezza dei semi. La produzione è molto abbondante e scalare. L’irrigazione è consigliata solo in caso di siccità. Facilissima da coltivare."
H121,231,9,Ombrellifere,Foeniculum,vulgare,,Finocchio,Finocchio,Autunnale,000001111100,25,0,40,80,80,giorni,700,0,g/unità,0,1,1,"Nuova varietà autunnale, per trapianto dal mese di luglio. Molto sano e adattabile alle diverse condizioni di coltivazione, ha grumolo tondo, bianco e croccante, di grande pezzatura. Nei terreni fertili può superare con facilità i 700 gr di peso. Buona tolleranza a pre fioritura in estate. Ha limitata propensione a emettere ricacci dalla base in condizioni di stress. Si raccoglie a circa 70-80 giorni dal trapianto.<br> <br>"
H122,233,9,Ombrellifere,Foeniculum,vulgare,,Finocchio,Finocchio,Invernale,000000111110,25,0,40,90,90,giorni,800,0,g/unità,0,1,1,"Finocchio ibrido a ciclo medio-tardivo, di grandi dimensioni e ottime caratteristiche gustative. Il grumolo è grosso (può raggiungere gli 800 gr). La qualità è elevata grazie alle coste piene, dolci e aromatiche, mai troppo fibrose o spugnose. Tollera le basse temperature di fine autunno. Concimare generosamente all’impianto e ripetere l’intervento dopo 4 e 6 settimane. Si raccoglie a 80-90 giorni dal trapianto.<br>"
H120,229,9,Ombrellifere,Foeniculum,vulgare,,Finocchio,Finocchio,Precoce,001111100000,25,0,40,70,70,giorni,500,0,g/unità,0,1,1,"Nuovo ibrido a ciclo precoce lentissimo a montare a seme. Questa varietà permette di raccogliere in primavera e in piena estate, grumoli bianchissimi di medie dimensioni, teneri e croccanti e privi di ricacci laterali. Si raccoglie a 70 giorni dal trapianto."
H124,230,9,Ombrellifere,Foeniculum,vulgare,,Finocchio,Finocchio,Tardivo invernale,000000011110,25,0,40,110,110,giorni,800,0,g/unità,0,1,1,"Varietà ibrida a ciclo tardivo, sopporta bene le basse temperature. Il grumo è grosso ben rotondo e molto bianco di qualità eccezionale. Si raccoglie a 100-120 giorni dal trapianto. Consigliato in centro italia nei trapianti tardivi in aree a clima mite."
H130,222,9,Composite,Cichorium,endivia,c.,Indivia,Indivia,Riccia a cuore d′oro,011111111110,25,0,30,60,60,giorni,500,0,g/unità,0,0,0,"Varietà di indivia riccia caratterizzata da cespi di volume medio, molto pesanti e da un bellissimo cuore pieno. Ideale per raccolte dalla primavera all’autunno inoltrato. Foglie finemente frastagliate e molto croccanti. Si raccoglie a 60 giorni dal trapianto. Eccellente da sola e in insalate miste con radicchi e lattughe."
H131,223,9,Composite,Cichorium,endivia,c.,Indivia,Indivia,Riccia d′inverno gigante,000000011110,30,0,40,80,80,giorni,700,0,g/unità,0,0,0,"Varietà di indivia riccia molto voluminosa caratterizzata da cespi molto pesanti e da foglie allungate, ideale per raccolta autunno-invernale. Molto resistente al freddo si raccoglie a 70-85 giorni dal trapianto. Eccellente da sola e in insalate miste con radicchi e lattughe."
H144,228,9,Composite,Cichorium,endivia,l.,Indivia,Indivia,Scarola ascolana,000000011110,30,0,40,80,80,giorni,900,0,g/unità,0,0,0,"Scarola invernale a rapido accrescimento, con cespo molto voluminoso. Ha foglie chiare, grandi e cuore pieno. È la varietà che resiste di più al freddo ed alla salita a seme a fine inverno. Si può raccogliere già a 80 giorni dal trapianto. Eccellente da sola o in insalate miste con radicchi e lattughe. Trapiantare a 35 cm di distanza tra una pianta e l’altra. Limitare le concivazioni azotate."
H142,226,9,Composite,Cichorium,endivia,l.,Indivia,Indivia,Scarola bionda a cuore pieno,000000111110,30,0,40,60,60,giorni,600,0,g/unità,0,0,0,"Indivia scarola bionda di alta qualità. Ha un cespo voluminoso con foglie spesse di colore verde biondo, cuore pieno che imbianca discretamente anche senza legatura. Adatta a raccolte estivo-autunnali. È pronta a 50-65 giorni dal trapianto. Eccellente da sola o in insalate miste con radicchi e lattughe."
H141,225,9,Composite,Cichorium,endivia,l.,Indivia,Indivia,Scarola cornetto di Bordeaux,000000111110,30,0,40,80,80,giorni,500,0,g/unità,0,0,0,"Indivia scarola di antica tradizione. Ha cespi di grandi dimensioni con foglie avvolte nel classico cornetto. Foglie di colore verde biondo e molto croccanti. Si raccoglie a 60-90 giorni dal trapianto. Eccellente da sola o in insalate miste con radicchi e lattughe. La tecnica tradizionale prevede l’imbiancatura in buche nel suolo."
H143,227,9,Composite,Cichorium,endivia,l.,Indivia,Indivia,Scarola gigante degli ortolani,000000111110,30,0,40,80,80,giorni,800,0,g/unità,0,0,0,"Indivia scarola invernale con cespi molto voluminosi e pesanti. Foglie spesse e carnose che formano un cuore molto pieno. Resistentissima al freddo si raccoglie a 70-80 giorni dal trapianto. Discreta capacità autoimbiancante anche senza legatura. Trapiantare a 35 cm di distanza tra una pianta e l’altra."
H140,224,9,Composite,Cichorium,endivia,l.,Indivia,Indivia,Scarola verde Bubikopf,011111111110,25,0,30,60,60,giorni,500,0,g/unità,0,0,0,"Varietà di indivia scarola con cespi di medio vigore, caratterizzata da elevata resistenza a salita a seme, si adatta per raccolte dalla primavera all’autunno inoltrato. Si raccoglie a 60 giorni dal trapianto. Eccellente da sola o in insalate miste con radicchi e lattughe."
H204,168,9,Composite,Lactuca,sativa,,Lattuga,Lattuga,Quattro stagioni,111111111110,25,0,40,40,60,giorni,400,0,g/unità,0,1,0,"La migliore selezione di lattuga quattro stagioni. Pianta vigorosa, resistente alla salita a seme, dal cespo voluminoso e tinteggiato in rosso. Per le sue foglie tenerissime, è tra le varietà più apprezzate in tavola. Adatta a raccolte durante tutto l’arco dell’anno. Soliflore ha una naturale resistenza a Bremia e afide rosso della lattuga, ciò ne facilita la coltivazione con metodo biologico."
H153,607,9,Composite,Lactuca,sativa,,Lattuga,Lattuga,Barba dei frati rossa,111111111110,25,0,40,7,45,giorni,500,0,g/unità,0,1,0,"Varietà da cespo e da taglio dall’accrescimento molto rapido. Detta anche “lingua di canarino”, “catalogna”, “radichetta” o “cerbiatta”. Adatta a produzioni di primavera, estate ed autunno, per l’ottima tolleranza a salita a seme. Eccellente qualità, molto utilizzata nei mix di insalate. Ciclo 30/60 giorni. Da lattughino, dopo il taglio rivegeta molto rapidamente."
H152,170,9,Composite,Lactuca,sativa,,Lattuga,Lattuga,Barba dei frati verde,111111111110,25,0,40,7,45,giorni,500,0,g/unità,0,1,0,"Varietà da cespo e da taglio dall’accrescimento molto rapido. Detta anche “lingua di canarino”, “catalogna”, “radichetta” o “cerbiatta”. Adatta a produzioni di primavera, estate ed autunno, per l’ottima tolleranza a salita a seme. Eccellente qualità, molto utilizzata nei mix di insalate. Ciclo 30/60 giorni. Da lattughino, dopo il taglio rivegeta molto rapidamente."
H184,185,9,Composite,Lactuca,sativa,,Lattuga,Lattuga,Batavia variegata,011111111000,25,0,40,45,70,giorni,500,0,g/unità,0,1,0,"Brasiliana atipica, voluminosa, con foglie verde chiaro screziate di rosa, leggermente bollose. Foglia frastagliata, molto croccante. Varietà di facile coltivazione. Evitare i trapianti di luglio e agosto in pianura. Irrigare al mattino, cercando di non bagnare le foglie. Resistente alle basse temperature."
H158,186,9,Composite,Lactuca,sativa,,Lattuga,Lattuga,Batavia verde,011111111000,25,0,40,45,70,giorni,500,0,g/unità,0,1,0,"Varietà di Batavia caratteristica della Slovenia, con foglia scura a bordo leggermente rosato, molto croccante, del peso di 4- 500 grammi. Evitare i trapianti di luglio e agosto in pianura. Pianta voluminosa, facile da coltivare. Irrigare possibilmente al mattino. Resistente alle basse temperature."
H182,177,9,Composite,Lactuca,sativa,,Lattuga,Lattuga,Brasiliana rossa,111111111100,25,0,40,30,50,giorni,300,0,g/unità,0,1,0,"Brasiliana molto particolare, con foglie bordate di rosso, caratterizzata da una buona precocità. Gustosa e croccante, si raccoglie in 35-60 giorni dal trapianto. Evitare i trapianti di luglio e agosto in pianura. Irrigare al mattino, cercando di evitare di bagnare le foglie, per prevenire gli attacchi di Peronospora. Molto resistente alle basse temperature."
H181,176,9,Composite,Lactuca,sativa,,Lattuga,Lattuga,Brasiliana verde,111111111100,25,0,40,7,45,giorni,500,0,g/unità,0,1,0,"Brasiliana atipica, di colore chiaro, con foglia eretta e croccante, di facile coltivazione. Resiste bene al caldo e al freddo. Coltivabile durante tutto l’arco dell’anno. Ciclo di coltivazione di 40-70 giorni dal trapianto. Ottima anche coltivata per raccolta come lattughino da taglio. Irrigare evitando di bagnare le foglie."
H200,182,9,Composite,Lactuca,sativa,,Lattuga,Lattuga,Canasta,111111111110,25,0,40,30,60,giorni,500,0,g/unità,0,1,0,"La migliore selezione di «lattuga canasta» oggi esistente sul mercato. Pianta vigorosa dal fogliame ampio, frastagliato ed a margine dentellato bordato di rosso. Gusto dolce e croccante. Adatta per raccolte in ogni periodo dell’anno. Ciclo colturale circa 30/60 giorni dal trapianto."
